<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20131011,43.9283,44.5559,43.9283,43.9283,160730
VNM,20131010,44.5559,44.8696,43.9283,43.9283,129610
VNM,20131009,43.9283,44.8696,43.6145,44.5559,334620
VNM,20131008,43.9283,43.9283,43.6145,43.9283,156730
VNM,20131007,43.9283,44.2421,43.6145,43.9283,153310
VNM,20131004,43.6145,43.9283,43.3008,43.9283,88360
VNM,20131003,43.9283,43.9283,43.6145,43.6145,61720
VNM,20131002,43.6145,44.2421,43.6145,43.9283,98350
VNM,20131001,44.2421,44.5559,43.6145,43.6145,124630
VNM,20130930,43.9283,44.2421,43.6145,44.2421,92160
VNM,20130927,43.6145,43.9283,43.3008,43.9283,57260
VNM,20130926,43.9283,44.2421,43.6145,43.6145,91970
VNM,20130925,43.3008,44.8696,42.9870,43.9283,257540
VNM,20130924,42.9870,43.3008,42.6732,43.3008,61330
VNM,20130923,43.3008,43.3008,42.6732,42.9870,128710
VNM,20130920,42.9870,43.3008,42.6732,43.3008,35340
VNM,20130919,42.6732,43.3008,42.6732,42.9870,58080
VNM,20130918,42.9870,43.3008,42.6732,42.6732,73620
VNM,20130917,42.9870,43.3008,42.6732,42.9870,82100
VNM,20130916,43.3008,43.3008,42.6732,42.9870,62070
VNM,20130913,42.9870,43.3008,42.6732,43.3008,57390
VNM,20130912,43.3008,43.3008,42.9870,42.9870,67390
VNM,20130911,43.3008,43.6145,42.9870,43.3008,145120
VNM,20130910,42.6732,43.3008,42.6732,43.3008,98300
VNM,20130909,43.6145,43.6145,42.3595,42.6732,213380
VNM,20130906,43.6145,44.5559,43.3008,43.6145,622950
VNM,20130905,42.6732,44.5559,43.3008,43.6145,606010
VNM,20130904,41.7319,43.6145,42.3595,42.6732,559630
VNM,20130903,40.7906,42.3595,41.1044,41.7319,240850
VNM,20130830,41.4181,41.7319,39.5355,40.7906,989560
VNM,20130829,41.7319,42.3595,41.4181,41.4181,686640
VNM,20130828,43.6145,43.6145,41.7319,41.7319,704560
VNM,20130827,43.9283,43.9283,42.9870,43.6145,375240
VNM,20130826,42.6732,43.9283,41.1044,43.9283,799920
VNM,20130823,44.8696,44.8696,42.0457,42.6732,1332760
VNM,20130822,45.8110,45.8110,44.8696,44.8696,479780
VNM,20130821,45.8110,45.8110,45.1834,45.8110,232120
VNM,20130820,46.4385,46.7523,45.4972,45.8110,600930
VNM,20130819,46.4385,46.4385,45.8193,46.4385,587140
VNM,20130816,46.7481,46.7481,45.8193,46.4385,395060
VNM,20130815,46.1289,46.7481,46.1289,46.7481,258740
VNM,20130814,45.5097,46.1289,45.2001,46.1289,206100
VNM,20130813,44.8905,45.5097,44.8905,45.5097,213280
VNM,20130812,44.8905,45.2001,44.8905,44.8905,116260
VNM,20130809,44.8905,45.2001,44.5809,44.8905,159070
VNM,20130808,44.8905,45.2001,44.5809,44.8905,151820
VNM,20130807,45.2001,45.2001,44.8905,44.8905,292010
VNM,20130806,44.5809,45.5097,44.2713,45.2001,291030
VNM,20130805,45.2001,45.5097,44.5809,44.5809,371780
VNM,20130802,44.8905,45.5097,44.8905,45.2001,174920
VNM,20130801,44.8905,45.2001,44.5809,44.8905,183380
VNM,20130731,43.9618,44.8905,43.9618,44.8905,247770
VNM,20130730,43.6522,44.2713,43.6522,43.9618,241950
VNM,20130729,44.5809,44.8905,43.6522,43.6522,253290
VNM,20130726,44.2713,44.5809,43.9618,44.5809,162950
VNM,20130725,43.9618,44.5809,43.6522,44.2713,230340
VNM,20130724,44.8905,44.8905,43.9618,43.9618,386880
VNM,20130723,44.8905,45.5097,44.8905,44.8905,382650
VNM,20130722,44.5809,44.8905,43.9618,44.8905,209600
VNM,20130719,43.3426,44.5809,43.6522,44.5809,422230
VNM,20130718,43.3426,43.6522,43.0330,43.3426,201870
VNM,20130717,43.0330,43.3426,42.7234,43.3426,245830
VNM,20130716,42.4138,43.3426,42.4138,43.0330,506730
VNM,20130715,42.4138,42.7234,42.1042,42.4138,122900
VNM,20130712,42.1042,42.4138,41.7946,42.4138,153350
VNM,20130711,42.1042,42.4138,41.7946,42.1042,112390
VNM,20130710,42.1042,42.7234,42.1042,42.1042,161190
VNM,20130709,41.4850,42.4138,41.7946,42.1042,189580
VNM,20130708,41.4850,41.7946,41.1755,41.4850,130740
VNM,20130705,41.4850,41.7946,41.1755,41.4850,72890
VNM,20130704,41.4850,41.7946,41.1755,41.4850,97200
VNM,20130703,41.7946,42.1042,41.4850,41.4850,149530
VNM,20130702,40.5563,41.7946,41.1755,41.7946,346060
VNM,20130701,40.8659,40.8659,40.2467,40.5563,113300
VNM,20130628,40.8659,41.1755,40.5563,40.8659,100240
VNM,20130627,40.2467,40.8659,40.2467,40.8659,205810
VNM,20130626,40.2467,40.5563,39.9371,40.2467,226880
VNM,20130625,41.4850,41.4850,39.3179,40.2467,419640
VNM,20130624,41.4850,41.7946,40.8659,41.4850,154040
VNM,20130621,41.4850,41.7946,41.1755,41.4850,123320
VNM,20130620,41.7946,42.1042,41.1755,41.4850,112610
VNM,20130619,41.1755,42.1042,41.4850,41.7946,130700
VNM,20130618,40.8659,41.4850,40.8659,41.1755,120890
VNM,20130617,42.4138,42.4138,40.8659,40.8659,390940
